record_id,field,raw_value,problem,action_taken
R003,amount,(1500),no currency marker found; assumed PKR,parsed with assumption noted
R003,registered_on,01/03/2026,registered_on '01/03/2026' ambiguous D/M vs M/D; assumed DD/MM/YYYY per project default,parsed with assumption noted
R003,renews_on,01/04/2026,renews_on '01/04/2026' ambiguous D/M vs M/D; assumed DD/MM/YYYY per project default,parsed with assumption noted
R004,amount,,amount is blank,dropped row; amount unrecoverable
R004,registered_on,10/11/2025,registered_on '10/11/2025' ambiguous D/M vs M/D; assumed DD/MM/YYYY per project default,parsed with assumption noted
R004,renews_on,10/11/2026,renews_on '10/11/2026' ambiguous D/M vs M/D; assumed DD/MM/YYYY per project default,parsed with assumption noted
R006,registered_on,05/06/2026,registered_on '05/06/2026' ambiguous D/M vs M/D; assumed DD/MM/YYYY per project default,parsed with assumption noted
R006,renews_on,05/07/2026,renews_on '05/07/2026' ambiguous D/M vs M/D; assumed DD/MM/YYYY per project default,parsed with assumption noted
R007,registered_on,03/04/2026,registered_on '03/04/2026' ambiguous D/M vs M/D; assumed DD/MM/YYYY per project default,parsed with assumption noted
R007,renews_on,03/04/2027,renews_on '03/04/2027' ambiguous D/M vs M/D; assumed DD/MM/YYYY per project default,parsed with assumption noted
R008,registered_on,31/02/2026,registered_on '31/02/2026' looked like DD/MM/YYYY but day 31 is invalid for month 2,dropped row; date unrecoverable
R008,renews_on,31/02/2027,renews_on '31/02/2027' looked like DD/MM/YYYY but day 31 is invalid for month 2,dropped row; date unrecoverable
R009,registered_on,01/01/2026,registered_on '01/01/2026' ambiguous D/M vs M/D; assumed DD/MM/YYYY per project default,parsed with assumption noted
R009,renews_on,01/01/2027,renews_on '01/01/2027' ambiguous D/M vs M/D; assumed DD/MM/YYYY per project default,parsed with assumption noted
R010,registered_on,01/01/2026,registered_on '01/01/2026' ambiguous D/M vs M/D; assumed DD/MM/YYYY per project default,parsed with assumption noted
R010,renews_on,01/01/2027,renews_on '01/01/2027' ambiguous D/M vs M/D; assumed DD/MM/YYYY per project default,parsed with assumption noted
R011,domain,HTTPS://WWW.Brightweb.PK/,domain normalized from 'HTTPS://WWW.Brightweb.PK/' to 'brightweb.pk',normalized
R011,registered_on,12/02/2026,registered_on '12/02/2026' ambiguous D/M vs M/D; assumed DD/MM/YYYY per project default,parsed with assumption noted
R011,renews_on,12/02/2027,renews_on '12/02/2027' ambiguous D/M vs M/D; assumed DD/MM/YYYY per project default,parsed with assumption noted
R012,domain, skynet .pk ,domain normalized from 'skynet .pk' to 'skynet.pk',normalized
R013,domain,example..pk,domain 'example..pk' has a malformed double dot,dropped row; domain unrecoverable
R014,registered_on,10/05/2025,registered_on '10/05/2025' ambiguous D/M vs M/D; assumed DD/MM/YYYY per project default,parsed with assumption noted
R014,renews_on,10/05/2026,renews_on '10/05/2026' ambiguous D/M vs M/D; assumed DD/MM/YYYY per project default,parsed with assumption noted
R015,registered_on,08/08/2026,registered_on '08/08/2026' ambiguous D/M vs M/D; assumed DD/MM/YYYY per project default,parsed with assumption noted
R015,renews_on,08/09/2026,renews_on '08/09/2026' ambiguous D/M vs M/D; assumed DD/MM/YYYY per project default,parsed with assumption noted
R020,registered_on,02/08/2025,registered_on '02/08/2025' ambiguous D/M vs M/D; assumed DD/MM/YYYY per project default,parsed with assumption noted
R020,renews_on,02/08/2026,renews_on '02/08/2026' ambiguous D/M vs M/D; assumed DD/MM/YYYY per project default,parsed with assumption noted
R021,registered_on,03/09/2025,registered_on '03/09/2025' ambiguous D/M vs M/D; assumed DD/MM/YYYY per project default,parsed with assumption noted
R021,renews_on,03/09/2026,renews_on '03/09/2026' ambiguous D/M vs M/D; assumed DD/MM/YYYY per project default,parsed with assumption noted
R022,registered_on,03/08/2025,registered_on '03/08/2025' ambiguous D/M vs M/D; assumed DD/MM/YYYY per project default,parsed with assumption noted
