url,slug,title,category,author_handle,date_text,date_iso
https://www.techi.com/palantir-ai-growth-expectations-rising-2026/,palantir-ai-growth-expectations-rising-2026,Palantir’s AI Growth Is Accelerating—but Expectations Are Rising,,Jazib Zaman,"September 6, 2026 · 2:17 AM EDT",2026-09-06T06:17:13.785Z
https://www.techi.com/gpt-6-astra-openai-computer-use/,gpt-6-astra-openai-computer-use,GPT-6 Astra Reaches Human-Level Computer Use — and OpenAI Locks the Cyber Door Behind It,,Saba Javed,"September 3, 2026 · 7:49 PM EDT",2026-09-03T23:49:28.857Z
https://www.techi.com/deepmind-coding-research-california-london-cluster/,deepmind-coding-research-california-london-cluster,Google DeepMind's shift to California tests the case for London's AI cluster,,Zoha Imdad Ali,"August 19, 2026 · 7:24 PM EDT",2026-08-19T23:24:43.152Z
https://www.techi.com/amd-chip-selloff-input-costs-pricing-power/,amd-chip-selloff-input-costs-pricing-power,"The chip selloff is picking sides, and AMD is on the wrong one",,Umair Aslam,"August 19, 2026 · 4:41 PM EDT",2026-08-19T20:41:39.259Z
https://www.techi.com/tesla-cybercab-hardware-gap-fsd-owners/,tesla-cybercab-hardware-gap-fsd-owners,Tesla's robotaxi finally works. Just not on the cars it sold you,,Omer Sheikh,"August 19, 2026 · 4:22 PM EDT",2026-08-19T20:22:24.233Z
https://www.techi.com/meta-29-state-trial-advisory-jury-remedy-risk/,meta-29-state-trial-advisory-jury-remedy-risk,The Meta trial's real risk isn't the $1.4 trillion. It's the judge,,Saba Javed,"August 19, 2026 · 4:04 PM EDT",2026-08-19T20:04:04.214Z
https://www.techi.com/nvidia-h200-china-shipments-below-licence-ceiling/,nvidia-h200-china-shipments-below-licence-ceiling,"Nvidia's H200s are flowing to China again, at 13% of the legal limit",,Dr Layloma Rashid,"August 19, 2026 · 3:07 PM EDT",2026-08-19T19:07:41.212Z
https://www.techi.com/samsung-foundry-price-hike-losing-share/,samsung-foundry-price-hike-losing-share,Samsung lost a third of its foundry share. It raised prices anyway,,Fatimah Misbah Hussain,"August 19, 2026 · 2:14 PM EDT",2026-08-19T18:14:26.171Z
https://www.techi.com/ether-price-first-half-2026/,ether-price-first-half-2026,Reading the Ether Price After a Brutal First Half of 2026,,Qaiser Sultan,"August 19, 2026 · 1:03 PM EDT",2026-08-19T17:03:28.994Z
https://www.techi.com/anthropic-model-2-risk-report-misalignment-estimate/,anthropic-model-2-risk-report-misalignment-estimate,Anthropic’s Model 2 Is Stronger. That Isn’t Why the Risk Label Changed,,Qaiser Sultan,"August 14, 2026 · 6:43 PM EDT",2026-08-14T22:43:01.312Z
https://www.techi.com/intel-15-billion-stock-offering/,intel-15-billion-stock-offering,Intel Just Asked Investors for $15 Billion. The Timing Is the Whole Story,,Omer Sheikh,"August 10, 2026 · 2:17 PM EDT",2026-08-10T18:17:58.730Z
https://www.techi.com/ai-chip-materials-synthesis-bottleneck/,ai-chip-materials-synthesis-bottleneck,AI agents logged 526 chip-material candidates. One recipe passed the screen,,Fatimah Misbah Hussain,"August 10, 2026 · 11:41 AM EDT",2026-08-10T15:41:57.682Z
https://www.techi.com/kings-cross-ai-talent-cluster-bottleneck/,kings-cross-ai-talent-cluster-bottleneck,King’s Cross reveals AI’s next bottleneck: talent density,,Zoha Imdad Ali,"August 10, 2026 · 4:30 AM EDT",2026-08-10T08:30:31.242Z
https://www.techi.com/supernatural-vr-fitness-reboot-3000-workouts/,supernatural-vr-fitness-reboot-3000-workouts,"Supernatural’s VR fitness reboot aims to restore 3,000 workouts",,Saba Javed,"August 9, 2026 · 3:18 PM EDT",2026-08-09T19:18:17.030Z
https://www.techi.com/us-sanctions-shelbit-aban-tether-iran-crypto/,us-sanctions-shelbit-aban-tether-iran-crypto,US sanctions two crypto exchanges over Iran-linked money flows,,Fatimah Misbah Hussain,"August 9, 2026 · 2:17 PM EDT",2026-08-09T18:17:28.274Z
https://www.techi.com/ai-camouflage-surveillance-camera-test-proof/,ai-camouflage-surveillance-camera-test-proof,AI camouflage reportedly passed one camera test. Proof is still thin,,Zoha Imdad Ali,"August 9, 2026 · 1:11 PM EDT",2026-08-09T17:11:43.535Z
https://www.techi.com/claude-code-auto-mode-default-11-percent-miss-rate/,claude-code-auto-mode-default-11-percent-miss-rate,Claude Code will default to auto mode despite an 11% test miss rate,,Saba Javed,"August 9, 2026 · 11:54 AM EDT",2026-08-09T15:54:35.288Z
https://www.techi.com/x-original-content-rewards-premium-impressions/,x-original-content-rewards-premium-impressions,X will pay for original posts. Only Premium views count,,Fatimah Misbah Hussain,"August 9, 2026 · 4:47 AM EDT",2026-08-09T08:47:50.000Z
https://www.techi.com/openai-astra-critical-cyber-capability-proof/,openai-astra-critical-cyber-capability-proof,OpenAI's Astra may be 'Critical.' The proof is still private,,Zoha Imdad Ali,"August 9, 2026 · 3:47 AM EDT",2026-08-09T07:47:32.525Z
https://www.techi.com/firebird-armenia-ai-factory-300mw-roadmap/,firebird-armenia-ai-factory-300mw-roadmap,Firebird's Armenia AI factory is live. The 300 MW promise is not,,Saba Javed,"August 9, 2026 · 2:27 AM EDT",2026-08-09T06:27:53.180Z
